GR,МКБ-10,Всего,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
Женщины,"N34.1,N70-N73,N75.0,N75.1,N76.4,6",1,,,,,,,,,,,1,,,,
Женщины,N40,0,,,,,,,,,,,,,,,
Женщины,A33,0,,,,,,,,,,,,,,,
Женщины,A34,0,,,,,,,,,,,,,,,
Женщины,O00-O99,3,,,,,,1,2,,,,,,,,
Женщины,P00-P96,34,34,,,,,,,,,,,,,,
Женщины,"Q00, Q01, Q05",0,,,,,,,,,,,,,,,
Женщины,Q20-Q28,28,25,,1,,,,,,,,,1,1,,
Женщины,Y40-Y59,0,,,,,,,,,,,,,,,
Женщины,"Y60-Y69,Y83-Y84",0,,,,,,,,,,,,,,,
Женщины,Y70–Y82,0,,,,,,,,,,,,,,,
Женщины,V01-V99,0,,,,,,,,,,,,,,,
Женщины,"W00-X39, X46-X59",0,,,,,,,,,,,,,,,
Женщины,X66-X84,0,,,,,,,,,,,,,,,
Женщины,Y16-Y34,0,,,,,,,,,,,,,,,
Женщины,X86-Y09,0,,,,,,,,,,,,,,,
Женщины,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",30,,,,,,,3,4,6,5,6,3,2,1,
Женщины,"K73, K74.0-K74.2, K74.6",108,,,1,,,1,1,6,16,17,18,10,14,11,13
Женщины,"F11-F16, F18-F19, X40-X44, X85, Y10-Y14",0,,,,,,,,,,,,,,,
Женщины,X60-X64,0,,,,,,,,,,,,,,,
Женщины,U07.1 - U07.2 (COVID-19),39,,,,,,2,1,1,1,3,2,,8,15,6
Женщины,All,2137,99,4,4,6,6,12,34,45,100,134,166,182,325,445,575
